full_name,dom_pos,birthdate,height,bodyWeight,points_acum,numMinutes_acum,reboundsTotal_acum,blocks_acum,assists_acum,steals_acum,threePointersMade_acum,fieldGoalsMade_acum,freeThrowsMade_acum,age,reb36Min,blk36Min,ast36Min,stl36Min,pts_from_2_36Min,pts_from_3_36Min
Hassan Adams,F,1984-06-20,76.0,220.0,246.0,710.0,111.0,7.0,25.0,29.0,0.0,106.0,34.0,41.3388090349076,5.6281690140845075,0.35492957746478876,1.267605633802817,1.4704225352112676,10.749295774647887,0.0
Jaylen Adams,G,1996-05-04,72.0,225.0,149.0,535.0,78.0,5.0,77.0,19.0,32.0,51.0,15.0,29.467488021902806,5.248598130841121,0.3364485981308411,5.181308411214953,1.2785046728971963,2.5570093457943925,6.459813084112149
Jordan Adams,G,1994-07-08,77.0,209.0,165.0,386.0,54.0,7.0,33.0,30.0,13.0,59.0,34.0,31.290896646132786,5.036269430051814,0.6528497409326425,3.077720207253886,2.7979274611398965,8.580310880829016,3.6373056994818653
Michael Adams,G,1963-01-19,70.0,165.0,9877.0,21125.0,1967.0,68.0,4312.0,1112.0,984.0,3342.0,2209.0,62.757015742642025,3.3520473372781066,0.11588165680473372,7.348260355029586,1.8950059171597633,8.03673372781065,5.030627218934911
Rafael Addison,F,1964-07-22,80.0,241.0,2208.0,5732.0,786.0,83.0,345.0,151.0,70.0,929.0,280.0,61.25119780971937,4.936496859734822,0.5212840195394278,2.1667829727843686,0.9483600837404047,10.789951151430564,1.3189113747383112
Deng Adel,F,1997-02-01,79.0,200.0,36.0,194.0,22.0,4.0,6.0,1.0,6.0,13.0,4.0,28.720054757015742,4.082474226804123,0.7422680412371134,1.1134020618556701,0.18556701030927836,2.5979381443298966,3.3402061855670104
Rick Adelman,G,1946-06-16,74.0,175.0,3708.0,9212.0,1129.0,4.0,1622.0,39.0,0.0,1428.0,852.0,79.35112936344969,4.412071211463308,0.015631784628745114,6.338688666956144,0.15240990013026487,11.161094224924012,0.0
Arron Afflalo,G,1985-10-15,77.0,210.0,9015.0,22465.0,2409.0,156.0,1518.0,384.0,933.0,3279.0,1524.0,40.01916495550992,3.8604050745604273,0.24998887157801022,2.4325840195860224,0.6153572223458714,7.518896060538615,4.485377253505453
Ochai Agbaji,G,2000-04-20,77.0,215.0,1745.0,4968.19,656.0,92.0,272.0,135.0,254.0,671.0,149.0,25.505817932922657,4.75344139414958,0.6666411711307338,1.970939114647387,0.9782234576374899,6.043247138293826,5.521527960887165
Maurice Ager,G,1984-02-09,77.0,202.0,361.0,942.0,88.0,10.0,34.0,15.0,27.0,132.0,70.0,41.700205338809035,3.363057324840764,0.38216560509554137,1.2993630573248407,0.5732484076433121,8.02547770700637,3.095541401273885
Mark Aguirre,F,1959-12-10,78.0,232.0,20205.0,30647.0,5110.0,305.0,3131.0,738.0,437.0,7897.0,3974.0,65.8672142368241,6.002545110451267,0.3582732404476784,3.6778803798087902,0.8669037752471694,17.526022122883155,1.5399876007439552
Blake Ahearn,G,1984-05-27,74.0,190.0,137.0,303.0,25.0,0.0,32.0,8.0,23.0,37.0,40.0,41.40451745379877,2.9702970297029703,0.0,3.801980198019802,0.9504950495049505,3.3267326732673266,8.198019801980198
Alexis Ajinca,C,1988-05-06,86.0,248.0,1700.0,4131.0,1250.0,212.0,154.0,108.0,12.0,706.0,276.0,37.46201232032854,10.893246187363834,1.8474945533769063,1.3420479302832244,0.9411764705882353,12.095860566448803,0.3137254901960785
Henry Akin,C,1944-07-31,82.0,225.0,307.0,393.0,118.0,0.0,22.0,0.0,0.0,130.0,47.0,81.22655715263518,10.809160305343513,0.0,2.015267175572519,0.0,23.816793893129773,0.0
DeVaughn Akoon-Purcell,G,1993-06-05,78.0,200.0,13.0,24.0,5.0,0.0,6.0,3.0,0.0,5.0,3.0,32.380561259411365,7.5,0.0,9.0,4.5,15.0,0.0
Solomon Alabi,C,1988-03-21,85.0,252.0,51.0,216.0,74.0,12.0,6.0,5.0,0.0,22.0,7.0,37.58795345653662,12.333333333333334,2.0,1.0,0.8333333333333333,7.333333333333333,0.0
Mark Alarie,F,1963-12-11,80.0,217.0,2455.0,5545.0,1126.0,111.0,364.0,134.0,35.0,1047.0,326.0,61.86447638603696,7.310369702434626,0.7206492335437331,2.3632100991884584,0.8699729486023444,13.1404869251578,0.6816952209197475
Gary Alcorn,C,1936-10-08,81.0,225.0,261.0,111.0,180.0,0.0,4.0,0.0,0.0,103.0,55.0,89.03764544832306,58.37837837837838,0.0,1.2972972972972974,0.0,66.8108108108108,0.0
Furkan Aldemir,F,1991-08-09,82.0,240.0,122.0,630.0,211.0,19.0,38.0,23.0,0.0,48.0,26.0,34.20396988364134,12.057142857142857,1.0857142857142856,2.1714285714285713,1.3142857142857143,5.485714285714286,0.0
Cole Aldrich,C,1988-10-31,83.0,253.0,1187.0,3826.0,1338.0,270.0,205.0,169.0,0.0,492.0,203.0,36.97467488021903,12.589649764767382,2.540512284370099,1.9289074751698903,1.5901725039205439,9.258755880815473,0.0
LaMarcus Aldridge,F,1985-07-19,83.0,250.0,22989.0,39947.0,9740.0,1338.0,2295.0,858.0,254.0,9261.0,4213.0,40.26009582477755,8.7776303602273,1.2057976819285552,2.0682404185545846,0.7732245224923023,16.234110196009713,0.6867098906050516
Cliff Alexander,F,1995-11-16,80.0,240.0,21.0,75.0,23.0,4.0,1.0,1.0,0.0,9.0,3.0,29.932922655715263,11.04,1.9200000000000002,0.48000000000000004,0.48000000000000004,8.64,0.0
Cory Alexander,G,1973-06-22,73.0,190.0,1703.0,4762.0,490.0,37.0,843.0,265.0,238.0,597.0,271.0,52.33401779603012,3.7043259134817306,0.27971440571188577,6.372952540949181,2.003359932801344,5.427971440571189,5.397732045359093
Joe Alexander,F,1986-12-26,80.0,230.0,323.0,864.0,150.0,32.0,54.0,19.0,16.0,121.0,65.0,38.822724161533195,6.25,1.3333333333333333,2.25,0.7916666666666667,8.75,2.0
Kyle Alexander,F,1996-10-21,82.0,216.0,2.0,28.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,29.00205338809035,9.0,1.2857142857142856,0.0,0.0,2.571428571428571,0.0
Ty-Shon Alexander,G,1998-07-16,75.0,195.0,18.0,64.0,10.0,1.0,8.0,2.0,3.0,7.0,1.0,27.26899383983573,5.625,0.5625,4.5,1.125,4.5,5.0625
Victor Alexander,F,1969-08-31,82.0,265.0,2549.0,5771.0,1391.0,177.0,258.0,137.0,18.0,1104.0,323.0,56.14236824093087,8.677178998440478,1.1041413966383642,1.6094264425576157,0.8546179171720673,13.549124935019927,0.33685669727950096
Steve Alford,G,1964-11-23,74.0,183.0,798.0,1747.0,153.0,10.0,191.0,88.0,41.0,311.0,135.0,60.91170431211499,3.1528334287349744,0.20606754436176303,3.9358900973096738,1.8133943903835146,11.127647395535204,2.534630795649685
Rawle Alkins,G,1997-10-29,77.0,225.0,37.0,117.0,27.0,0.0,13.0,1.0,3.0,13.0,8.0,27.980835044490075,8.307692307692308,0.0,4.0,0.3076923076923077,6.153846153846154,2.769230769230769
Bob Allen,F,1946-07-17,81.0,205.0,52.0,251.0,62.0,0.0,10.0,0.0,0.0,14.0,24.0,79.2662559890486,8.892430278884461,0.0,1.4342629482071714,0.0,4.01593625498008,0.0
Kadeem Allen,G,1993-01-15,73.0,200.0,265.0,631.0,71.0,8.0,112.0,24.0,22.0,91.0,61.0,32.766598220396986,4.050713153724247,0.45641838351822506,6.389857369255151,1.3692551505546753,7.873217115689382,3.7654516640253566
Lavoy Allen,F,1989-02-04,81.0,260.0,2108.0,7637.0,2101.0,248.0,421.0,146.0,2.0,943.0,220.0,36.71184120465435,9.903888961634149,1.1690454366897995,1.9845489066387325,0.6882283619222208,8.87154641875082,0.028283357339269347
Lucius Allen,G,1947-09-26,74.0,175.0,9913.0,20470.0,2269.0,83.0,3216.0,327.0,0.0,4086.0,1741.0,78.072553045859,3.9904250122129947,0.14596971177332682,5.655886663409868,0.575085490962384,14.371861260381046,0.0
Malik Allen,F,1978-06-27,82.0,255.0,2619.0,7838.0,1513.0,246.0,266.0,148.0,4.0,1158.0,299.0,47.32101300479124,6.9492217402398575,1.1298800714467978,1.2217402398571064,0.6797652462362849,10.60066343454963,0.05511610104618525
Tony Allen,G,1982-01-11,76.0,213.0,7714.0,20709.0,3340.0,397.0,1259.0,1363.0,139.0,2971.0,1633.0,43.7782340862423,5.806171229900044,0.6901347240330291,2.188613646240765,2.369404606692742,9.846153846153847,0.7249022164276402
Odis Allison,F,1949-10-02,78.0,195.0,67.0,166.0,45.0,0.0,10.0,0.0,0.0,17.0,33.0,76.05475701574264,9.759036144578312,0.0,2.1686746987951806,0.0,7.373493975903614,0.0
Lance Allred,C,1981-02-02,83.0,250.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,44.71731690622861,3.272727272727273,0.0,0.0,0.0,6.545454545454546,0.0
Darrell Allums,F,1958-09-12,80.0,220.0,59.0,276.0,65.0,8.0,25.0,5.0,0.0,23.0,13.0,67.11019849418207,8.478260869565217,1.0434782608695652,3.260869565217391,0.6521739130434783,6.0,0.0
Morris Almond,G,1985-02-02,78.0,225.0,190.0,575.0,73.0,4.0,14.0,15.0,9.0,70.0,41.0,40.71731690622861,4.570434782608696,0.25043478260869567,0.8765217391304347,0.9391304347826086,7.638260869565218,1.6904347826086956
Derrick Alston,C,1972-08-20,83.0,225.0,751.0,2656.0,525.0,87.0,94.0,95.0,1.0,318.0,114.0,53.17180013689254,7.115963855421686,1.1792168674698795,1.2740963855421688,1.2876506024096386,8.593373493975903,0.04066265060240964
Rafer Alston,G,1976-07-24,74.0,175.0,7541.0,21304.0,2145.0,114.0,3519.0,903.0,1105.0,2712.0,1012.0,49.24572210814511,3.6246714232069093,0.19263987983477282,5.946488922268119,1.5259106271122793,5.431092752534735,5.601764926774315
Peter Aluma,C,1973-04-26,82.0,260.0,2.0,5.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,52.49007529089665,14.4,7.2,0.0,7.2,14.4,0.0
John Amaechi,F,1970-11-26,82.0,270.0,1862.0,4736.0,782.0,96.0,231.0,94.0,1.0,671.0,519.0,54.90485968514716,5.944256756756757,0.7297297297297298,1.755912162162162,0.714527027027027,10.18581081081081,0.022804054054054057
Lou Amundson,F,1982-12-07,81.0,220.0,1783.0,6134.0,1788.0,352.0,211.0,180.0,0.0,739.0,305.0,42.874743326488705,10.493641995435278,2.065862406260189,1.2383436582980112,1.0564069122921422,8.67427453537659,0.0
Chris Andersen,F,1978-07-07,82.0,245.0,4377.0,13828.0,4065.0,1121.0,391.0,355.0,17.0,1550.0,1260.0,47.29363449691992,10.58287532542667,2.9184263812554234,1.0179346253977437,0.9242117442869541,7.982065374602256,0.13277408157361875
Alan Anderson,G,1982-10-16,78.0,220.0,2738.0,7455.0,820.0,33.0,416.0,208.0,375.0,948.0,467.0,43.017111567419576,3.9597585513078473,0.15935613682092553,2.0088531187122736,1.0044265593561368,5.53400402414487,5.4325955734406435
Antonio Anderson,G,1985-06-05,78.0,215.0,27.0,102.0,11.0,0.0,11.0,4.0,3.0,11.0,2.0,40.380561259411365,3.882352941176471,0.0,3.882352941176471,1.4117647058823528,5.647058823529411,3.1764705882352944
Daniel Anderson,G,1951-01-01,74.0,185.0,347.0,1067.0,91.0,3.0,166.0,36.0,0.0,135.0,77.0,74.80629705681041,3.07029053420806,0.10121836925960638,5.600749765698219,1.2146204311152766,9.109653233364574,0.0
Derek Anderson,G,1974-07-18,77.0,195.0,7628.0,18347.0,2065.0,88.0,2153.0,717.0,669.0,2497.0,1965.0,51.26351813826147,4.051888592140404,0.17267128140840465,4.2245598735488095,1.4068785087480242,7.173706873058266,3.938082520303047
Dwight Anderson,G,1960-12-28,75.0,185.0,21.0,33.0,2.0,0.0,3.0,1.0,0.0,7.0,7.0,64.81587953456537,2.1818181818181817,0.0,3.272727272727273,1.0909090909090908,15.272727272727273,0.0
Eric Anderson,F,1970-05-26,81.0,220.0,44.0,89.0,32.0,2.0,5.0,3.0,2.0,13.0,16.0,55.408624229979466,12.9438202247191,0.8089887640449438,2.0224719101123596,1.2134831460674156,8.898876404494382,2.426966292134831
Greg Anderson,F,1964-06-22,82.0,250.0,5030.0,14244.0,4315.0,602.0,390.0,487.0,2.0,2042.0,944.0,61.333333333333336,10.90564448188711,1.5214827295703455,0.9856781802864364,1.2308340353833194,10.311710193765796,0.015164279696714406
James Anderson,G,1989-03-25,78.0,213.0,1587.0,4682.0,616.0,59.0,322.0,138.0,223.0,586.0,192.0,36.577686516084874,4.736437419906022,0.45365228534814184,2.475865014950876,1.0610850064075181,5.582229816317813,5.143955574540795
Jerome Anderson,G,1953-10-09,77.0,195.0,129.0,295.0,26.0,3.0,17.0,7.0,0.0,52.0,25.0,72.03559206023272,3.172881355932203,0.36610169491525424,2.074576271186441,0.8542372881355933,12.691525423728812,0.0
Justin Anderson,G,1993-11-19,77.0,231.0,1549.0,3764.0,738.0,96.0,223.0,127.0,198.0,549.0,253.0,31.923340177960302,7.058448459086079,0.9181721572794899,2.132837407013815,1.214665249734325,6.71413390010627,5.681190223166843
Kenny Anderson,G,1970-10-09,73.0,168.0,11148.0,26614.0,2730.0,112.0,5339.0,1301.0,555.0,4138.0,2317.0,55.0362765229295,3.692793266701736,0.15149921094160967,7.221913278725483,1.759825655669948,9.693244157210492,2.2521980912301798
Kim Anderson,F,1955-05-12,79.0,200.0,63.0,224.0,45.0,5.0,15.0,4.0,0.0,24.0,15.0,70.44763860369609,7.232142857142858,0.8035714285714286,2.4107142857142856,0.6428571428571428,7.7142857142857135,0.0
Michael Anderson,G,1966-03-23,71.0,184.0,204.0,730.0,89.0,3.0,153.0,44.0,1.0,73.0,57.0,59.58384668035592,4.389041095890411,0.14794520547945203,7.545205479452055,2.16986301369863,7.101369863013699,0.14794520547945203
Mitchell Anderson,F,1960-09-23,80.0,195.0,762.0,1969.0,442.0,39.0,110.0,89.0,1.0,311.0,139.0,65.07871321013005,8.081259522600305,0.713052310817674,2.011173184357542,1.627221940071102,11.33570340274251,0.05485017775520569
Nick Anderson,G,1968-01-20,78.0,228.0,12173.0,26552.0,4302.0,393.0,2197.0,1186.0,1144.0,4643.0,1743.0,57.75496235455168,5.8327809581199155,0.5328412172341067,2.978758662247665,1.608014462187406,9.488098824947272,4.653208797830671
Richard Anderson,F,1960-11-19,82.0,240.0,2318.0,6146.0,1444.0,94.0,621.0,218.0,156.0,929.0,304.0,64.92265571526352,8.458184184835666,0.5506020175724048,3.6374877969411,1.2769280833062155,9.055645948584445,2.7412951513179302
Ron Anderson,F,1958-10-15,79.0,215.0,7322.0,15738.0,2392.0,92.0,998.0,481.0,109.0,3042.0,1129.0,67.0198494182067,5.471597407548609,0.21044605413648493,2.282882195958826,1.1002668699961875,13.418223408311093,0.7479984750285932
Ryan Anderson,F,1988-05-06,81.0,240.0,9015.0,18758.0,3912.0,250.0,657.0,384.0,1513.0,3092.0,1318.0,37.46201232032854,7.507836656359953,0.4797952873440665,1.2609020151402066,0.7369655613604862,6.060774069730249,8.711163237018873
Shandon Anderson,G,1973-12-31,78.0,215.0,5708.0,16874.0,2454.0,187.0,1083.0,591.0,326.0,2137.0,1108.0,51.80835044490075,5.235510252459405,0.3989569752281617,2.3105369207064124,1.260874718501837,7.727391252814982,2.0865236458456797
Willie Anderson,G,1967-01-08,80.0,200.0,7254.0,17094.0,2224.0,354.0,2232.0,636.0,113.0,3002.0,1137.0,58.78713210130048,4.683748683748684,0.7455247455247455,4.700596700596701,1.3394173394173394,12.168480168480167,0.7139347139347139
Martynas Andriuskevicius,C,1986-03-12,86.0,240.0,28.0,76.0,20.0,3.0,4.0,2.0,0.0,9.0,10.0,39.61396303901437,9.473684210526315,1.4210526315789473,1.894736842105263,0.9473684210526315,8.526315789473683,0.0
Don Anielak,F,1930-11-01,79.0,190.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,94.97330595482546,7.2,0.0,0.0,0.0,0.0,0.0
Ike Anigbogu,C,1998-10-16,82.0,250.0,21.0,54.0,12.0,8.0,3.0,1.0,0.0,7.0,7.0,27.017111567419576,8.0,5.333333333333333,2.0,0.6666666666666666,9.333333333333332,0.0
Michael Ansley,F,1967-02-08,79.0,225.0,1026.0,2143.0,621.0,24.0,67.0,51.0,0.0,383.0,260.0,58.70225872689939,10.432104526364908,0.40317312179188053,1.1255249650023331,0.8567428838077461,12.867942137190854,0.0
Chris Anstey,C,1975-01-01,84.0,249.0,813.0,2082.0,534.0,65.0,127.0,78.0,4.0,303.0,203.0,50.8062970568104,9.23342939481268,1.1239193083573487,2.195965417867435,1.3487031700288183,10.340057636887607,0.20749279538904897
Giannis Antetokounmpo,F,1994-12-06,83.0,242.0,23989.0,32349.78,10047.0,1244.0,4964.0,1109.0,636.0,8804.0,5745.0,30.87748117727584,11.180663361543727,1.384367992610769,5.524117938360014,1.2341351316763207,18.179289009075177,2.1232911012068705
Kostas Antetokounmpo,F,1997-11-20,82.0,200.0,67.0,212.0,58.0,15.0,13.0,9.0,1.0,19.0,28.0,27.920602327173167,9.849056603773585,2.547169811320755,2.207547169811321,1.5283018867924527,6.113207547169811,0.5094339622641509
Thanasis Antetokounmpo,F,1992-07-18,79.0,219.0,611.0,1803.77,391.0,52.0,144.0,72.0,12.0,249.0,101.0,33.2621492128679,7.803655676721533,1.037826330407979,2.873980607283634,1.436990303641817,9.46018616564196,0.7184951518209085
Carmelo Anthony,F,1984-05-29,79.0,238.0,31603.0,47916.0,8745.0,707.0,3807.0,1403.0,1919.0,11259.0,7166.0,41.399041752224505,6.570247933884298,0.5311795642374154,2.8602554470323067,1.0540946656649137,14.034560480841474,4.325319308790383
Greg Anthony,G,1967-11-15,73.0,180.0,5954.0,17242.0,1541.0,97.0,3231.0,970.0,667.0,2068.0,1151.0,57.935660506502394,3.21749217028187,0.2025287089664772,6.746085140934926,2.025287089664772,5.850365386846073,4.177937594246607
Joel Anthony,C,1982-08-09,81.0,245.0,1341.0,8613.0,1690.0,667.0,132.0,164.0,0.0,497.0,347.0,43.20328542094456,7.063740856844306,2.7878787878787876,0.5517241379310345,0.6854754440961338,4.154649947753396,0.0
Pero Antic,F,1982-07-29,83.0,260.0,842.0,2418.0,496.0,34.0,122.0,51.0,130.0,268.0,176.0,43.233401779603014,7.384615384615384,0.5062034739454094,1.8163771712158807,0.7593052109181142,4.109181141439206,5.806451612903226
Rafael Araujo,C,1980-08-12,83.0,270.0,501.0,1805.0,474.0,17.0,48.0,61.0,1.0,194.0,112.0,45.1937029431896,9.453739612188366,0.33905817174515235,0.9573407202216067,1.2166204986149585,7.698614958448753,0.059833795013850416
Robert Archibald,F,1980-03-29,83.0,250.0,53.0,307.0,70.0,6.0,16.0,14.0,0.0,15.0,23.0,45.56605065023956,8.208469055374593,0.7035830618892508,1.8762214983713357,1.6416938110749186,3.5179153094462543,0.0
Ryan Arcidiacono,G,1994-03-26,75.0,195.0,1109.0,4134.0,493.0,11.0,558.0,135.0,191.0,385.0,148.0,31.575633127994525,4.293178519593614,0.09579100145137881,4.859216255442671,1.1756168359941945,3.3788098693759068,4.989840348330914
Jim Ard,C,1948-09-19,81.0,215.0,810.0,2780.0,846.0,38.0,156.0,21.0,0.0,314.0,182.0,77.08966461327857,10.955395683453236,0.4920863309352518,2.0201438848920863,0.2719424460431655,8.132374100719424,0.0
Gilbert Arenas,G,1982-01-06,76.0,215.0,12361.0,20676.0,2352.0,151.0,3145.0,970.0,1160.0,4026.0,3149.0,43.79192334017796,4.095182820661637,0.2629135229251306,5.475914103308184,1.688914683691236,9.980266976204295,6.059199071387115
Trevor Ariza,F,1985-06-30,80.0,215.0,13420.0,37567.0,6213.0,397.0,2715.0,1881.0,1859.0,4779.0,2003.0,40.31211498973306,5.95384246812362,0.38044028003300767,2.60175153725344,1.8025394628264169,5.596401096707217,5.3443713897835865
Paul Arizin,F,1928-04-09,76.0,190.0,16769.0,4842.0,4774.0,0.0,1335.0,0.0,0.0,5818.0,5132.0,97.53593429158111,35.49442379182156,0.0,9.925650557620818,0.0,86.51301115241635,0.0
Joe Arlauckas,F,1965-07-20,81.0,230.0,34.0,85.0,13.0,4.0,8.0,3.0,0.0,14.0,6.0,60.257357973990416,5.5058823529411764,1.6941176470588235,3.388235294117647,1.2705882352941176,11.858823529411765,0.0
B.J. Armstrong,G,1967-09-09,74.0,185.0,8147.0,20062.0,1472.0,50.0,2730.0,615.0,486.0,3164.0,1333.0,58.119096509240244,2.6414116239657064,0.08972186222709601,4.898813677599442,1.1035789053932807,9.611005881766523,2.6162895025421196
Brandon Armstrong,G,1980-06-16,77.0,185.0,256.0,673.0,69.0,4.0,28.0,23.0,26.0,109.0,12.0,45.34976043805612,3.690936106983655,0.2139673105497771,1.4977711738484398,1.2303120356612183,8.87964338781575,4.172362555720654
Darrell Armstrong,G,1968-06-22,73.0,180.0,8159.0,20806.0,2412.0,106.0,3564.0,1197.0,975.0,2808.0,1568.0,57.333333333333336,4.173411515908873,0.18340863212534847,6.166682687686244,2.0711333269249255,6.343170239354032,5.061040084590983
Hilton Armstrong,F,1984-11-23,83.0,235.0,1162.0,4073.0,974.0,175.0,128.0,116.0,2.0,443.0,274.0,40.91170431211499,8.608887797692118,1.5467714215565922,1.1313528111956788,1.025288485146084,7.795727964645224,0.05303216302479745
Tate Armstrong,G,1955-10-05,75.0,175.0,350.0,780.0,86.0,0.0,82.0,14.0,0.0,159.0,32.0,70.04791238877482,3.9692307692307693,0.0,3.7846153846153845,0.6461538461538461,14.676923076923076,0.0
Jesse Arnelle,F,1933-12-30,77.0,220.0,147.0,24.0,37.0,0.0,1.0,0.0,0.0,52.0,43.0,91.81108829568788,55.5,0.0,1.5,0.0,156.0,0.0
Carlos Arroyo,G,1979-07-30,74.0,200.0,4116.0,11291.0,1035.0,28.0,1936.0,313.0,139.0,1557.0,863.0,46.23134839151266,3.2999734301656187,0.08927464352138871,6.172703923478877,0.9979629793640953,9.042246036666372,1.3295545124435393
Darrell Arthur,F,1988-03-25,81.0,235.0,3676.0,9617.0,1963.0,330.0,432.0,336.0,166.0,1548.0,414.0,37.57700205338809,7.348237496100656,1.2353124675054592,1.6171363210980556,1.2577726941873764,10.346677758136632,1.8641988145991473
John Arthurs,G,1947-08-15,76.0,185.0,35.0,60.0,14.0,0.0,13.0,0.0,0.0,12.0,11.0,78.18754277891856,8.4,0.0,7.800000000000001,0.0,14.4,0.0
Jamel Artis,G,1993-01-12,79.0,213.0,90.0,292.0,41.0,3.0,20.0,2.0,9.0,36.0,9.0,32.77481177275838,5.054794520547945,0.3698630136986301,2.4657534246575343,0.2465753424657534,6.657534246575342,3.328767123287671
Omer Asik,C,1986-07-04,84.0,255.0,2820.0,10378.0,3832.0,396.0,337.0,199.0,0.0,1068.0,684.0,39.30184804928131,13.292734630950086,1.3736750819040278,1.1690113702062055,0.6903064174214685,7.409520138755059,0.0
Vincent Askew,G,1966-02-28,78.0,210.0,3527.0,10042.0,1272.0,115.0,1076.0,325.0,86.0,1291.0,859.0,59.64681724845996,4.560047799243179,0.4122684724158534,3.8573989245170286,1.1651065524795858,8.639713204540929,0.9249153555068711
Keith Askins,G,1967-12-15,80.0,173.0,1913.0,8216.0,1485.0,173.0,388.0,288.0,287.0,698.0,230.0,57.85352498288843,6.506815968841286,0.7580331061343719,1.7000973709834468,1.2619279454722494,3.601752677702045,3.7726387536514117
Richard Atha,G,1931-09-21,74.0,190.0,137.0,44.0,20.0,0.0,11.0,0.0,0.0,53.0,31.0,94.08624229979466,16.363636363636363,0.0,9.0,0.0,86.72727272727273,0.0
Chucky Atkins,G,1974-08-14,71.0,185.0,7355.0,18238.0,1287.0,37.0,2535.0,510.0,995.0,2646.0,1068.0,51.1895961670089,2.540410132689988,0.0730343239390284,5.003838140146946,1.0066893299703916,6.517819936396534,5.892093431297291
Stacey Augmon,G,1968-08-01,80.0,213.0,8478.0,22894.0,3414.0,334.0,1670.0,1036.0,12.0,3208.0,2050.0,57.223819301848046,5.368393465536822,0.525203109985149,2.6260155499257447,1.6290731195946535,10.051192452170874,0.056608718441513065
